row	column	strain
7	23	J592
7	24	R1024
8	1	RKPB053
8	2	RKPB222
8	3	RKPB054
8	4	RKPB223
8	5	RKPB055
8	6	RKPB224
8	7	RKPB056
8	8	HKPU057
8	9	RKPB057
8	10	HKPU088
8	11	RKPB059
8	12	HKPU027
8	13	RKPB060
8	14	RKPB206
8	15	RKPB061
8	16	RKPB207
8	17	RKPB557
8	18	RKPR126
8	19	RKPB042
8	20	RKPB209
8	21	RKPB043
8	22	RKPB211
8	23	RKPB044
8	24	RKPB214
9	1	J60
9	2	R1298
9	3	J61
9	4	R120
9	5	J755
9	6	T97
9	7	HKPB55
9	8	MKPR038
9	9	J788
9	10	TK123
9	11	J798
9	12	T94
9	13	J82
9	14	Q166
9	15	J841
9	16	N1148
9	17	J876
9	18	N70
9	19	J878
9	20	R1251
9	21	J890
9	22	N1030
9	23	J907
9	24	N769
10	1	RKPB046
10	2	RKPB215
10	3	RKPB047
10	4	RKPR127
10	5	RKPB049
10	6	RKPB876
10	7	RKPB050
10	8	RKPB875
10	9	RKPB051
10	10	RKPB877
10	11	RKPB029
10	12	RKPB878
10	13	RKPB030
10	14	RKPB879
10	15	RKPB033
10	16	RKPB880
10	17	RKPB034
10	18	RKPB881
10	19	RKPB035
10	20	RKPB888
10	21	RKPB036
10	22	RKPB841
10	23	RKPB037
10	24	RKPB842
11	1	J911
11	2	MKPU119
11	3	M1128
11	4	N841
11	5	M1146
11	6	N1027
11	7	HKPB57
11	8	N1132
11	9	Kp04_s
11	10	R123
11	11	M1191
11	12	M1139
11	13	M120
11	14	M87
11	15	M1336
11	16	R374
11	17	M1345
11	18	R860
11	19	M1353
11	20	R1185
11	21	MKP103
11	22	R1356
11	23	M213
11	24	R1161
12	1	RKPB038
12	2	RKPB844
12	3	RKPB039
12	4	RKPB863
12	5	RKPB016
12	6	RKPB865
12	7	RKPB017
12	8	RKPB866
12	9	MKP103
12	10	RKPB867
12	11	RKPB019
12	12	RKPB868
12	13	RKPB022
12	14	RKPR128
12	15	RKPB023
12	16	RKPB814
12	17	RKPB024
12	18	RKPB815
12	19	RKPB025
12	20	RKPB816
12	21	RKPB027
12	22	RKPB817
12	23	RKPB001
12	24	MKPU201
13	1	M221
13	2	M31
13	3	M254
13	4	J242
13	5	M269
13	6	R70
13	7	M278
13	8	M824
13	9	M471
13	10	M462
13	11	M478
13	12	M495
13	13	Kp051
13	14	J819
13	15	M504
13	16	J70
13	17	Kp064
13	18	J181
13	19	M558
13	20	J197
13	21	RKPB284
13	22	R408
13	23	N25
13	24	R1350
14	1	RKPB002
14	2	RKPB820
14	3	RKPB004
14	4	RKPB821
14	5	RKPB006
14	6	RKPB822
14	7	RKPB007
14	8	RKPB840
14	9	RKPB009
14	10	RKPB513
14	11	MKPB263
14	12	RKPB803
14	13	RKPB011
14	14	RKPB804
14	15	RKPB014
14	16	RKPB805
14	17	RKPB193
14	18	RKPB806
14	19	RKPB194
14	20	RKPB808
14	21	RKPB195
14	22	RKPB811
14	23	RKPB560
14	24	MKPU203
15	1	M615
15	2	J62
15	3	M825
15	4	JZ68
15	5	M873
15	6	JZ82
15	7	M891
15	8	Tb72
15	9	M905
15	10	MKPR017
15	11	M936
15	12	J220
15	13	MK75
15	14	J333
15	15	N1029
15	16	J561
15	17	N1049
15	18	J814
15	19	N1050
15	20	M203
15	21	N1072
15	22	3
15	23	N1079
15	24	19
16	1	RKPB561
16	2	RKPR130
16	3	RKPB201
16	4	RKPB463
16	5	RKPB202
16	6	RKPB464
16	7	RKPB203
16	8	RKPB465
16	9	RKPB204
16	10	RKPB466
16	11	RKPB180
16	12	RKPB467
16	13	RKPB181
16	14	RKPB468
16	15	MKPB267
16	16	RKPB510
16	17	RKPB183
16	18	RKPB511
16	19	RKPB184
16	20	RKPB512
16	21	RKPB562
16	22	RKPB453
16	23	RKPB187
16	24	RKPR131
