row	column	strain
1	1	B14
1	2	N978
1	3	B26
1	4	N987
1	5	B42
1	6	N990
1	7	B53
1	8	S7
1	9	B54
1	10	13
1	11	Kp017
1	12	14
1	13	MKPU058
1	14	MKPU285
1	15	H150
1	16	MKPU128
1	17	H152
1	18	31
1	19	H159
1	20	32
1	21	H225
1	22	36
1	23	H246
1	24	40
2	1	RKPB096
2	2	RKPB313
2	3	RKPB097
2	4	RKPB314
2	5	RKPB099
2	6	RKPB315
2	7	MKPR014
2	8	RKPB316
2	9	RKPB101
2	10	RKPB317
2	11	RKPB102
2	12	RKPB298
2	13	RKPB103
2	14	RKPB297
2	15	RKPB558
2	16	RKPB296
2	17	RKPB086
2	18	RKPB300
2	19	RKPB087
2	20	RKPB301
2	21	RKPB088
2	22	RKPB303
2	23	RKPB089
2	24	RKPB304
3	1	H249
3	2	6
3	3	H251
3	4	7
3	5	H257
3	6	9
3	7	H262
3	8	R235
3	9	H264
3	10	R238
3	11	HA-107
3	12	R1020
3	13	MKPU062
3	14	R1300
3	15	HA-126
3	16	R848
3	17	HA127
3	18	N594
3	19	HA-3
3	20	N1101
3	21	HA61
3	22	N1145
3	23	HA94
3	24	R69
4	1	RKPB090
4	2	RKPB305
4	3	RKPB091
4	4	RKPB307
4	5	RKPB092
4	6	RKPB280
4	7	RKPB094
4	8	RKPU180
4	9	RKPB095
4	10	RKPB282
4	11	RKPB076
4	12	RKPB283
4	13	MKP103
4	14	RKPB286
4	15	MKPR015
4	16	RKPB287
4	17	RKPB080
4	18	RKPB290
4	19	RKPB081
4	20	RKPB292
4	21	RKPB082
4	22	HKPU090
4	23	RKPB083
4	24	RKPB254
5	1	J1093
5	2	T95
5	3	J1141
5	4	N889
5	5	J13
5	6	N643
5	7	J14
5	8	MKP103
5	9	J140
5	10	N30
5	11	J151
5	12	Q103
5	13	J180
5	14	Q109
5	15	J22
5	16	Q203
5	17	J245
5	18	Q204
5	19	J261
5	20	Q214
5	21	J267
5	22	Q97
5	23	J27
5	24	Q119
6	1	RKPB084
6	2	RKPB255
6	3	RKPB085
6	4	RKPB256
6	5	RKPB062
6	6	RKPB257
6	7	RKPB067
6	8	RKPB258
6	9	RKPB068
6	10	RKPB259
6	11	RKPB070
6	12	MKPR020
6	13	RKPB071
6	14	MKPR021
6	15	RKPB072
6	16	RKPB279
6	17	RKPB073
6	18	RKPB217
6	19	RKPB556
6	20	RKPB218
6	21	RKPB075
6	22	RKPB219
6	23	MKP103
6	24	RKPB220
7	1	J270
7	2	MKPU138
7	3	J3
7	4	Q137
7	5	J324
7	6	N1153
7	7	J427
7	8	T29
7	9	J436
7	10	R121
7	11	Kp038
7	12	T93
7	13	J491
7	14	T152
7	15	J51
7	16	T153
7	17	J52
7	18	T183
7	19	J550
7	20	DKPU111
7	21	J59
7	22	T96
