row	column	strain
16	6	RKPB524
16	7	RKPB322
16	8	R144
16	9	RKPB323
16	10	JKPB644
16	11	RKPB324
16	12	MKPB011
16	13	RKPB325
16	14	MKPR005
16	15	RKPB326
16	16	MKPR006
16	17	RKPB309
16	18	MKPR008
16	19	RKPB310
16	20	MKPR009
16	21	RKPB311
16	22	MKPR010
16	23	RKPB312
16	24	MKPR011
