row	column	strain
7	17	99B
7	18	465
7	19	95A
7	20	466
7	21	48B
7	22	MKP103
7	23	48A
7	24	JKPB640
8	1	HKPB520
8	2	RKPB807
8	3	Mkp103
8	4	MKPU205
8	5	HKPB052
8	6	MKPU206
8	7	HKPB007
8	8	MKPU208
8	9	HKPB010
8	10	MKPU209
8	11	HKPB055
8	12	MKPB013
8	13	HKPB059
8	14	MKPU210
8	15	HKPB011
8	16	MKPR214
8	17	HKPB058
8	18	MKPB023
8	19	HKPB056
8	20	MKPB002
8	21	HKPB017
8	22	MKPR220
8	23	HKPB057
8	24	DKPB009
9	1	41C
9	2	RKPU108
9	3	41B
9	4	440-S
9	5	36A
9	6	442-S
9	7	36B
9	8	446-S
9	9	31B
9	10	447-S
9	11	30+
9	12	448-S
9	13	29B
9	14	450-S
9	15	29A
9	16	MKPU087
9	17	26C
9	18	418
9	19	26B
9	20	433
9	21	20++
9	22	434
9	23	16A
9	24	464
10	1	MKPU144
10	2	HKPU101
10	3	MKPU146
10	4	DKPU040
10	5	RKPB535
10	6	MKPB039
10	7	RKPR001
10	8	MKPR270
10	9	RKPR002
10	10	DKPU071
10	11	RKPR003
10	12	MKPU274
10	13	RKPR004
10	14	MKP103
10	15	RKPR006
10	16	MKPU093
10	17	RKPR139
10	18	MKPU095
10	19	RKPR010
10	20	HKPB001
10	21	RKPR011
10	22	HKPB002
10	23	RKPR015
10	24	HKPB003
11	1	54
11	2	MKPU259
11	3	53
11	4	MKPR261
11	5	MKPU074
11	6	470
11	7	30
11	8	472
11	9	DKPR001
11	10	451-S
11	11	17
11	12	401
11	13	15
11	14	408
11	15	5
11	16	381
11	17	HKPB07
11	18	386
11	19	113A
11	20	392
11	21	112C
11	22	394
11	23	112B
11	24	315
12	1	RKPR016
12	2	HKPB004
12	3	RKPR017
12	4	HKPB005
12	5	RKPR018
12	6	HKPB013
12	7	RKPR019
12	8	HKPB016
12	9	RKPR020
12	10	DKPU095
12	11	RKPR024
12	12	HKPB053
12	13	RKPR025
12	14	RKPB003
12	15	RKPR026
12	16	RKPB026
12	17	RKPR027
12	18	RKPB031
12	19	RKPR029
12	20	RKPU083
12	21	RKPR030
12	22	RKPB077
12	23	RKPR032
12	24	RKPB133
13	1	112A
13	2	HKPR004
13	3	105K
13	4	29C
13	5	105J
13	6	41D
13	7	105I
13	8	421
13	9	105H
13	10	55
13	11	105G
13	12	RKPU119
13	13	105F
13	14	MKPR001
13	15	105D
13	16	DKPU113
13	17	105C
13	18	HKPR002
13	19	105B
13	20	HKPR003
13	21	105A
13	22	HKPR005
13	23	RKPU009
13	24	HKPR008
14	1	RKPR034
14	2	RKPB169
14	3	RKPR035
14	4	DKPU107
14	5	RKPR036
14	6	RKPB227
14	7	RKPR037
14	8	RKPB228
14	9	RKPR038
14	10	RKPB229
14	11	RKPR039
14	12	RKPB230
14	13	RKPR140
14	14	JKPB647
14	15	RKPR040
14	16	RKPB285
14	17	RKPR041
14	18	RKPB288
14	19	RKPR043
14	20	RKPB289
14	21	RKPR047
14	22	RKPB291
14	23	RKPR048
14	24	RKPB294
15	1	199
15	2	HKPR009
15	3	197
15	4	HKPR014
15	5	196
15	6	RKPU142
15	7	191
15	8	HKPR030
15	9	184
15	10	HKPR032
15	11	171
15	12	HKPU014
15	13	DKPU066
15	14	HKPU028
15	15	169
15	16	HKPU040
15	17	166
15	18	HKPU083
15	19	164
15	20	HKPU087
15	21	163
15	22	MKPU048
15	23	159
15	24	MKPU261
16	1	RKPR049
16	2	HKPU091
16	3	RKPR050
16	4	MKPB027
16	5	RKPR051
16	6	RKPB302
16	7	RKPR052
16	8	MKPU069
16	9	RKPR054
16	10	RKPB418
16	11	RKPR055
16	12	MKPB034
16	13	RKPR056
16	14	MKPU094
16	15	MKP103
16	16	MKPB022
16	17	RKPR058
16	18	MKPB036
16	19	RKPR059
16	20	MKPB003
16	21	RKPR060
16	22	MKPB025
16	23	RKPR061
16	24	MKPB007
