row	column	strain
1	1	Kp088
1	2	HKPR011
1	3	Kp089
1	4	377
1	5	Kp091
1	6	382
1	7	Kp093
1	8	385
1	9	Kp095
1	10	387
1	11	Kp097
1	12	388
1	13	Kp099
1	14	389
1	15	Kp011
1	16	397
1	17	Kp021
1	18	398
1	19	Kp031
1	20	400
1	21	Kp043
1	22	402
1	23	Kp078
1	24	403
2	1	HKPB305
2	2	MKP103
2	3	HKPB306
2	4	MKPU066
2	5	HKPB400
2	6	RKPB045
2	7	JKPB621
2	8	JKPB648
2	9	HKPB402
2	10	JKPB651
2	11	HKPB403
2	12	JKPB653
2	13	RKPR137
2	14	JKPB655
2	15	HKPB405
2	16	JKPB670
2	17	HKPB406
2	18	JKPB671
2	19	HKPB407
2	20	JKPB514
2	21	HKPB408
2	22	JKPB672
2	23	HKPB409
2	24	MKP103
3	1	Kp003
3	2	405
3	3	Kp023
3	4	406
3	5	Kp040
3	6	407
3	7	Kp01_s
3	8	409
3	9	Kp02_s
3	10	411
3	11	Kp03_s
3	12	412
3	13	MKPU077
3	14	413
3	15	Kp05_s
3	16	414
3	17	Kp07_s
3	18	415
3	19	Kp08_s
3	20	417
3	21	Kp09_s
3	22	419
3	23	Kp10_s
3	24	420
4	1	HKPB410
4	2	JKPB676
4	3	HKPB411
4	4	JKPB677
4	5	HKPB412
4	6	JKPB679
4	7	HKPB413
4	8	JKPB680
4	9	HKPB414
4	10	JKPB683
4	11	HKPB500
4	12	JKPB685
4	13	HKPB501
4	14	JKPB686
4	15	RKPR138
4	16	MKPR004
4	17	HKPB503
4	18	MKPR023
4	19	HKPB504
4	20	MKPR032
4	21	HKPB505
4	22	MKPU011
4	23	HKPB506
4	24	MKPU015
5	1	Kp11_s
5	2	422
5	3	Kp12_s
5	4	423
5	5	Kp13_s
5	6	424
5	7	Kp14_s
5	8	MKP103
5	9	Kp15_s
5	10	426
5	11	Kp16_s
5	12	427
5	13	Kp19_s
5	14	428
5	15	Kp20_s
5	16	430
5	17	Kp21_s
5	18	431
5	19	Kp22_s
5	20	432
5	21	Kp23_s
5	22	435
5	23	Kp24_s
5	24	436
6	1	HKPB507
6	2	MKPU016
6	3	HKPB508
6	4	MKPU023
6	5	HKPB509
6	6	MKPU025
6	7	HKPB510
6	8	MKPU075
6	9	HKPB511
6	10	MKPU099
6	11	HKPB512
6	12	MKPU112
6	13	HKPB513
6	14	MKPU116
6	15	HKPB514
6	16	RKPB295
6	17	HKPB516
6	18	MKPU121
6	19	HKPB517
6	20	MKPU200
6	21	HKPB518
6	22	MKP103
6	23	HKPB519
6	24	JKPB673
7	1	Kp25_s
7	2	437
7	3	Kp26_s
7	4	438
7	5	Kp27_s
7	6	439
7	7	Kp28_s
7	8	453
7	9	Kp29_s
7	10	455
7	11	Kp30_s
7	12	457
7	13	Kp32_s
7	14	458
7	15	99A
7	16	462
