row	column	strain
1	1	JZ21
1	2	153
1	3	JZ25
1	4	151
1	5	JZ33
1	6	148
1	7	JZ37
1	8	MKPU277
1	9	JZ42
1	10	140
1	11	JZ56
1	12	DKPU052
1	13	M1107
1	14	125
1	15	H399
1	16	124
1	17	H411
1	18	116
1	19	R3
1	20	195A
1	21	R311
1	22	194C
1	23	R313
1	24	133B
2	1	JKPB501
2	2	RKPR062
2	3	JKPB502
2	4	RKPR063
2	5	JKPB503
2	6	RKPR064
2	7	RKPR133
2	8	RKPR067
2	9	JKPB505
2	10	RKPR068
2	11	JKPB509
2	12	RKPR069
2	13	JKPB511
2	14	MKPB241
2	15	MKPU107
2	16	RKPR072
2	17	JKPB513
2	18	RKPR073
2	19	JKPB518
2	20	RKPR074
2	21	JKPB520
2	22	RKPR075
2	23	JKPB521
2	24	RKPR076
3	1	R314
3	2	124F
3	3	R317
3	4	113B
3	5	R347
3	6	206
3	7	T39
3	8	MKPU279
3	9	H133
3	10	213
3	11	H68
3	12	214
3	13	M549
3	14	217
3	15	M459
3	16	223
3	17	M552
3	18	225
3	19	M616
3	20	MKP103
3	21	Q53
3	22	234
3	23	M676
3	24	235
4	1	JKPB519
4	2	RKPR078
4	3	JKPB526
4	4	RKPR079
4	5	JKPB529
4	6	RKPR083
4	7	JKPB530
4	8	RKPR088
4	9	JKPB532
4	10	RKPR089
4	11	JKPB533
4	12	MKPB244
4	13	JKPB536
4	14	RKPU001
4	15	JKPB537
4	16	RKPU020
4	17	JKPB538
4	18	RKPU035
4	19	JKPB539
4	20	RKPU049
4	21	JKPB541
4	22	RKPU054
4	23	JKPB543
4	24	RKPU059
5	1	G3
5	2	240
5	3	Q54
5	4	247
5	5	R186
5	6	R146
5	7	R185
5	8	MKP103
5	9	N135
5	10	222A
5	11	N162
5	12	242F
5	13	N285
5	14	248
5	15	N242
5	16	303
5	17	N348
5	18	304
5	19	MKPR043
5	20	305
5	21	M351
5	22	HKPB56
5	23	HKPU022
5	24	309
6	1	RKPR134
6	2	MKPB245
6	3	JKPB546
6	4	MKPR222
6	5	JKPB547
6	6	MKPR224
6	7	JKPB548
6	8	MKPR228
6	9	JKPB549
6	10	MKPR230
6	11	JKPB600
6	12	MKPU060
6	13	JKPB601
6	14	RKPU109
6	15	JKPB602
6	16	RKPU110
6	17	JKPB603
6	18	RKPU115
6	19	JKPB604
6	20	RKPU120
6	21	JKPB605
6	22	RKPU125
6	23	JKPB606
6	24	RKPU132
7	1	M387
7	2	311
7	3	M397
7	4	RKPU086
7	5	Kp001
7	6	313
