row	column	strain
7	7	Kp002
7	8	314
7	9	Kp004
7	10	316
7	11	Kp006
7	12	318
7	13	Kp005
7	14	317
7	15	Kp007
7	16	319
7	17	Kp008
7	18	322
7	19	Kp009
7	20	323
7	21	Kp010
7	22	324
7	23	Kp013
7	24	325
8	1	JKPB607
8	2	RKPU141
8	3	JKPB608
8	4	RKPU156
8	5	MKPU108
8	6	RKPU159
8	7	JKPB610
8	8	RKPU161
8	9	JKPB611
8	10	RKPU162
8	11	JKPB612
8	12	RKPU166
8	13	JKPB613
8	14	RKPU176
8	15	JKPB614
8	16	RKPU179
8	17	JKPB528
8	18	RKPU181
8	19	JKPB531
8	20	MKPR246
8	21	JKPB550
8	22	RKPU186
8	23	JKPB551
8	24	RKPU187
9	1	Kp014
9	2	326
9	3	Kp016
9	4	MKP103
9	5	MKPU050
9	6	328
9	7	Kp019
9	8	329
9	9	Kp020
9	10	330
9	11	Kp022
9	12	331
9	13	Kp024
9	14	332
9	15	Kp029
9	16	335
9	17	Kp032
9	18	336
9	19	Kp033
9	20	339
9	21	Kp034
9	22	340
9	23	Kp035
9	24	341
10	1	JKPB552
10	2	RKPU206
10	3	JKPB554
10	4	RKPU253
10	5	JKPB553
10	6	DKPB002
10	7	RKPR135
10	8	DKPU005
10	9	MKPU034
10	10	DKPU006
10	11	JKPB527
10	12	DKPU016
10	13	JKPB540
10	14	DKPU020
10	15	JKPB542
10	16	DKPU025
10	17	JKPB524
10	18	DKPU094
10	19	JKPB525
10	20	HKPB014
10	21	JKPB517
10	22	HKPR001
10	23	JKPB507
10	24	HKPR012
11	1	Kp036
11	2	343
11	3	Kp037
11	4	345
11	5	MKPU064
11	6	349
11	7	Kp041
11	8	350
11	9	Kp042
11	10	352
11	11	Kp044
11	12	354
11	13	Kp045
11	14	361
11	15	Kp046
11	16	362
11	17	Kp047
11	18	363
11	19	Kp049
11	20	371
11	21	MKPU079
11	22	376
11	23	Kp052
11	24	378
12	1	HKPB415
12	2	MKPR024
12	3	HKPB08
12	4	HKPU010
12	5	HKPB100
12	6	HKPU012
12	7	HKPB101
12	8	MKPR025
12	9	HKPB102
12	10	HKPU016
12	11	HKPB103
12	12	HKPU017
12	13	HKPB104
12	14	HKPU026
12	15	HKPB105
12	16	MKPU028
12	17	HKPB200
12	18	HKPU030
12	19	RKPR136
12	20	HKPU031
12	21	HKPB202
12	22	HKPU033
12	23	HKPB203
12	24	HKPU034
13	1	Kp055
13	2	380
13	3	Kp056
13	4	390
13	5	Kp058
13	6	391
13	7	Kp059
13	8	393
13	9	Kp060
13	10	395
13	11	Kp062
13	12	396
13	13	Kp063
13	14	399
13	15	MKPU080
13	16	301B
13	17	MKPR276
13	18	RKPU105
13	19	Kp066
13	20	308
13	21	Kp067
13	22	320
13	23	Kp068
13	24	333
14	1	HKPB204
14	2	HKPU035
14	3	HKPB205
14	4	HKPU036
14	5	HKPB206
14	6	HKPU056
14	7	HKPB207
14	8	MKPU019
14	9	HKPB208
14	10	HKPU060
14	11	HKPB209
14	12	HKPU080
14	13	HKPB210
14	14	HKPU081
14	15	HKPB211
14	16	MKPB020
14	17	HKPB212
14	18	MKPB019
14	19	HKPB213
14	20	MKPB024
14	21	HKPB214
14	22	MKPB028
14	23	HKPB215
14	24	MKPU065
15	1	Kp069
15	2	334
15	3	Kp071
15	4	MKPB251
15	5	Kp072
15	6	342
15	7	Kp073
15	8	MKPU257
15	9	Kp076
15	10	357
15	11	Kp077
15	12	358
15	13	Kp079
15	14	360
15	15	Kp080
15	16	368
15	17	Kp081
15	18	369
15	19	Kp083
15	20	373
15	21	MKP103
15	22	374
15	23	170
15	24	375
16	1	HKPB216
16	2	MKPB006
16	3	HKPB217
16	4	MKPR265
16	5	HKPB218
16	6	MKPB014
16	7	HKPB219
16	8	MKPB017
16	9	HKPB220
16	10	MKPB016
16	11	HKPB221
16	12	HKPU107
16	13	HKPB222
16	14	MKPR026
16	15	HKPB300
16	16	MKPR029
16	17	HKPB301
16	18	MKPR031
16	19	HKPB303
16	20	MKPR033
16	21	HKPB304
16	22	MKPU005
16	23	HKPU111
16	24	MKPU006
